county_fips,block_group,CVAP_estimate,CVAP_margin_of_error,reg_count,reg_potential,percent_reg
04013,040134213022,1490,405,874,616,0.5865771812080537
04013,040133197033,1310,333,690,620,0.5267175572519084
04013,040133198001,1195,503,565,630,0.47280334728033474
04013,040133192011,1080,379,449,631,0.41574074074074074
04013,040133195004,1745,367,1114,631,0.6383954154727793
04013,040133189002,1445,378,798,647,0.5522491349480969
04013,040133184001,1375,423,715,660,0.52
04013,040134216021,1065,299,404,661,0.37934272300469485
04013,040133197031,1505,284,829,676,0.5508305647840531
04013,040133187002,1040,261,339,701,0.32596153846153847
04013,040133194014,1140,313,430,710,0.37719298245614036
04013,040131162051,735,142,7,728,0.009523809523809525
04013,040133201002,1535,227,791,744,0.5153094462540717
04013,040133194012,1595,471,848,747,0.5316614420062696
04013,040134221061,1570,225,812,758,0.5171974522292994
04013,040134221023,1240,326,471,769,0.37983870967741934
04013,040133196003,1540,375,757,783,0.4915584415584416
04013,040133188002,1380,403,566,814,0.4101449275362319
04013,040133192012,1380,438,542,838,0.3927536231884058
04013,040134221062,1260,251,418,842,0.33174603174603173
04013,040134212012,1810,280,936,874,0.5171270718232044
04013,040134221031,1465,349,585,880,0.3993174061433447
04013,040133193001,1910,312,1015,895,0.5314136125654451
04013,040133188001,1295,287,392,903,0.3027027027027027
04013,040133188004,1620,437,716,904,0.4419753086419753
04013,040134213021,1575,511,654,921,0.41523809523809524
04013,040130101021,945,386,2,943,0.0021164021164021165
04013,040133197063,1805,303,830,975,0.4598337950138504
04013,040133192022,1540,282,562,978,0.36493506493506495
04013,040134221071,2005,321,956,1049,0.4768079800498753
04013,040134222031,2190,263,1129,1061,0.5155251141552512
04013,040139413003,1820,318,743,1077,0.40824175824175823
04013,040133191042,1645,424,541,1104,0.32887537993920973
04013,040133189001,2055,611,948,1107,0.46131386861313867
04013,040133198004,1560,405,444,1116,0.2846153846153846
04013,040134212011,1595,421,456,1139,0.2858934169278997
04013,040133191011,1440,295,288,1152,0.2
04013,040133191041,1570,509,405,1165,0.25796178343949044
04013,040133187001,1900,612,698,1202,0.36736842105263157
04013,040131162053,1370,279,2,1368,0.00145985401459854
04013,040132168163,1745,466,1,1744,0.0005730659025787965
04013,040133190001,2435,1320,453,1982,0.18603696098562628
04013,040132177001,2100,341,1,2099,0.0004761904761904762
04013,040133190004,4140,622,250,3890,0.06038647342995169
